onset	duration	trial_type
4.5	0.5	Sketch_14
7.5	0.5	Sketch_43
10.5	0.5	Sketch_24
13.5	0.5	Sketch_6
16.5	0.5	Catch
19.5	0.5	Sketch_40
22.5	0.5	Sketch_27
25.5	0.5	Sketch_48
28.5	0.5	Sketch_41
31.5	0.5	Sketch_9
34.5	0.5	Catch
37.5	0.5	Sketch_31
40.5	0.5	Sketch_3
43.5	0.5	Sketch_35
46.5	0.5	Sketch_32
49.5	0.5	Catch
52.5	0.5	Sketch_21
55.5	0.5	Sketch_29
58.5	0.5	Sketch_30
61.5	0.5	Sketch_2
64.5	0.5	Sketch_34
67.5	0.5	Catch
70.5	0.5	Sketch_46
73.5	0.5	Sketch_5
76.5	0.5	Sketch_18
79.5	0.5	Sketch_19
82.5	0.5	Sketch_12
85.5	0.5	Catch
88.5	0.5	Sketch_33
91.5	0.5	Sketch_42
94.5	0.5	Sketch_38
97.5	0.5	Catch
100.5	0.5	Sketch_26
103.5	0.5	Sketch_11
106.5	0.5	Sketch_20
109.5	0.5	Catch
112.5	0.5	Sketch_16
115.5	0.5	Sketch_45
118.5	0.5	Sketch_17
121.5	0.5	Sketch_25
124.5	0.5	Sketch_7
127.5	0.5	Catch
130.5	0.5	Sketch_15
133.5	0.5	Sketch_10
136.5	0.5	Sketch_28
139.5	0.5	Catch
142.5	0.5	Sketch_22
145.5	0.5	Sketch_44
148.5	0.5	Sketch_37
151.5	0.5	Sketch_8
154.5	0.5	Sketch_47
157.5	0.5	Catch
160.5	0.5	Sketch_1
163.5	0.5	Sketch_39
166.5	0.5	Sketch_4
169.5	0.5	Sketch_36
172.5	0.5	Sketch_23
175.5	0.5	Catch
178.5	0.5	Sketch_13
181.5	0.5	Sketch_33
184.5	0.5	Sketch_23
187.5	0.5	Catch
190.5	0.5	Sketch_42
193.5	0.5	Sketch_8
196.5	0.5	Sketch_24
199.5	0.5	Catch
202.5	0.5	Sketch_44
205.5	0.5	Sketch_40
208.5	0.5	Sketch_47
211.5	0.5	Catch
214.5	0.5	Sketch_17
217.5	0.5	Sketch_13
220.5	0.5	Sketch_20
223.5	0.5	Catch
226.5	0.5	Sketch_46
229.5	0.5	Sketch_22
232.5	0.5	Sketch_6
235.5	0.5	Catch
238.5	0.5	Sketch_4
241.5	0.5	Sketch_15
244.5	0.5	Sketch_16
247.5	0.5	Sketch_35
250.5	0.5	Catch
253.5	0.5	Sketch_27
256.5	0.5	Sketch_34
259.5	0.5	Sketch_48
262.5	0.5	Sketch_11
265.5	0.5	Sketch_2
268.5	0.5	Catch
271.5	0.5	Sketch_38
274.5	0.5	Sketch_5
277.5	0.5	Sketch_39
280.5	0.5	Sketch_18
283.5	0.5	Catch
286.5	0.5	Sketch_14
289.5	0.5	Sketch_25
292.5	0.5	Sketch_31
295.5	0.5	Sketch_10
298.5	0.5	Catch
301.5	0.5	Sketch_43
304.5	0.5	Sketch_29
307.5	0.5	Sketch_21
310.5	0.5	Sketch_26
313.5	0.5	Catch
316.5	0.5	Sketch_1
319.5	0.5	Sketch_7
322.5	0.5	Sketch_3
325.5	0.5	Sketch_28
328.5	0.5	Catch
331.5	0.5	Sketch_45
334.5	0.5	Sketch_12
337.5	0.5	Sketch_32
340.5	0.5	Sketch_19
343.5	0.5	Catch
346.5	0.5	Sketch_36
349.5	0.5	Sketch_30
352.5	0.5	Sketch_37
355.5	0.5	Sketch_9
358.5	0.5	Sketch_41
361.5	0.5	Catch
